iter	Logloss
0	0.6415268988
1	0.6009562484
2	0.5657143924
3	0.5380972506
4	0.5134686265
5	0.493066744
6	0.4769959911
7	0.463397241
8	0.444868645
9	0.428639011
10	0.4144384825
11	0.4037150661
12	0.3927956556
13	0.3852215704
14	0.3776192806
15	0.372055091
16	0.3673959682
17	0.3632308325
18	0.3581049743
19	0.3528170778
20	0.3476696315
21	0.3436168987
22	0.3399339521
23	0.3372812924
24	0.3346422308
25	0.3326034386
26	0.3304475024
27	0.3290859116
28	0.3278451081
29	0.3263669847
30	0.3248207544
31	0.3231013559
32	0.3211719463
33	0.3194613292
34	0.3189592028
35	0.3176341875
36	0.3165753195
37	0.3159602416
38	0.3149583871
39	0.3139234594
40	0.3127033827
41	0.3123193057
42	0.3110799228
43	0.3099235186
44	0.3089019393
45	0.3084205362
46	0.3078934938
47	0.3072597456
48	0.3066717204
49	0.3060636853
50	0.3048801656
51	0.3043776698
52	0.303998967
53	0.3036976484
54	0.3034565027
55	0.3033060258
56	0.3025448206
57	0.3023494148
58	0.3021264658
59	0.3021046843
60	0.3021037099
61	0.3020744445
62	0.301701193
63	0.3012093225
64	0.3006826372
65	0.3006823735
66	0.300413575
67	0.300397216
68	0.2997575419
69	0.2994333649
70	0.2989619512
71	0.2989617942
72	0.2986678075
73	0.2984775051
74	0.2983312677
75	0.2983311641
76	0.2983022837
77	0.298278973
78	0.2981378433
79	0.2981354261
80	0.2981332786
81	0.2979036809
82	0.2972416508
83	0.296789025
84	0.2965944034
85	0.2965929384
86	0.2965917128
87	0.2964563565
88	0.2961431333
89	0.2961430338
90	0.2961424565
91	0.2960483081
92	0.2960482841
93	0.2959650167
94	0.2955411992
95	0.2955411515
96	0.2955373613
97	0.2953575089
98	0.295353732
99	0.2953533062
