iter	Passed	Remaining
0	5	498
1	13	665
2	19	632
3	30	740
4	47	906
5	53	844
6	61	813
7	70	812
8	78	792
9	86	781
10	94	761
11	102	748
12	109	734
13	117	720
14	124	706
15	132	696
16	140	684
17	147	672
18	155	660
19	162	650
20	170	639
21	178	633
22	188	630
23	198	628
24	211	633
25	218	621
26	226	611
27	233	601
28	241	590
29	248	580
30	256	570
31	263	560
32	271	550
33	278	540
34	288	535
35	301	536
36	310	527
37	318	518
38	325	509
39	333	499
40	340	489
41	347	480
42	355	470
43	362	461
44	372	455
45	381	448
46	391	441
47	401	434
48	410	426
49	417	417
50	425	408
51	433	399
52	440	390
53	448	381
54	455	373
55	463	364
56	470	355
57	478	346
58	485	337
59	493	328
60	500	320
61	508	311
62	515	302
63	523	294
64	531	286
65	538	277
66	546	269
67	553	260
68	564	253
69	573	245
70	585	239
71	595	231
72	604	223
73	612	215
74	620	206
75	628	198
76	637	190
77	645	181
78	653	173
79	661	165
80	669	157
81	678	148
82	686	140
83	694	132
84	703	124
85	710	115
86	718	107
87	726	99
88	735	90
89	743	82
90	755	74
91	764	66
92	774	58
93	787	50
94	796	41
95	804	33
96	813	25
97	821	16
98	830	8
99	838	0
